transaction_id,account_id,customer_id,date_id,transaction_type,channel,amount,running_balance,merchant_category,status,reference_number
10001,3217,1887,20231026,Debit,Branch,9313.01,3659064.77,EMI,Completed,TXN0010001
10002,2354,1248,20241219,Fee,Net Banking,6136.93,526845.3,Travel,Completed,TXN0010002
10003,3026,1742,20230915,Credit,Mobile,42254.71,4181644.94,Vendor Pay,Completed,TXN0010003
10004,2147,1104,20230906,Credit,ATM,1202614.66,3328476.81,Shopping,Reversed,TXN0010004
10005,3163,1847,20240728,Credit,UPI,37894.32,2595314.96,Insurance,Completed,TXN0010005
10006,2856,1617,20240827,Credit,Branch,2920565.07,588249.34,Travel,Completed,TXN0010006
10007,2830,1595,20240208,Credit,Branch,186706.14,3940893.62,Food,Completed,TXN0010007
10008,3213,1885,20240213,Credit,Net Banking,67072.3,129177.22,EMI,Completed,TXN0010008
10009,2900,1646,20230412,Debit,Net Banking,80288.58,3645557.78,Food,Failed,TXN0010009
10010,2514,1368,20231227,Fee,ATM,589433.33,3918765.3,Vendor Pay,Completed,TXN0010010
10011,2907,1651,20230614,Debit,UPI,65004.55,3703783.15,Travel,Completed,TXN0010011
10012,3148,1836,20240526,Transfer,Mobile,1823843.03,2691635.61,Travel,Completed,TXN0010012
10013,2333,1234,20231110,Debit,Branch,64125.45,1565308.8,Dividend,Completed,TXN0010013
10014,3066,1775,20230727,Debit,Net Banking,188285.07,4029681.6,Vendor Pay,Completed,TXN0010014
10015,2250,1173,20230117,Debit,UPI,655528.79,2531090.27,Insurance,Completed,TXN0010015
10016,3065,1775,20240212,Credit,Branch,115337.41,453620.54,EMI,Failed,TXN0010016
10017,2944,1680,20230927,Debit,Mobile,2710855.99,1984386.94,Investment,Completed,TXN0010017
10018,3041,1754,20240920,Credit,Branch,681480.78,1124899.46,Food,Completed,TXN0010018
10019,2784,1562,20241114,Fee,Branch,257356.61,4166406.58,Cash,Completed,TXN0010019
10020,2330,1232,20241025,Credit,ATM,1735.63,1219157.33,Salary,Completed,TXN0010020
10021,2690,1495,20240229,Credit,UPI,112274.77,931104.16,Maintenance,Completed,TXN0010021
10022,2895,1643,20230925,Credit,Mobile,405644.52,1318523.14,Vendor Pay,Completed,TXN0010022
10023,2345,1241,20240707,Debit,ATM,32505.42,4137412.01,Medical,Completed,TXN0010023
10024,2769,1552,20230409,Fee,UPI,70981.21,2677264.21,Shopping,Completed,TXN0010024
10025,2858,1619,20231223,Credit,UPI,82197.21,1120595.04,B2B Payment,Completed,TXN0010025
10026,2076,1055,20240925,Debit,UPI,43900.33,4765866.89,Utilities,Completed,TXN0010026
10027,2643,1460,20231222,Credit,ATM,6845.79,1772706.95,Medical,Completed,TXN0010027
10028,2367,1259,20240904,Credit,ATM,98627.56,1076805.49,Dividend,Completed,TXN0010028
10029,2989,1714,20231205,Debit,UPI,474208.54,722021.11,Maintenance,Reversed,TXN0010029
10030,2838,1601,20230107,Fee,Branch,1438621.74,1792389.22,Shopping,Completed,TXN0010030
10031,2102,1073,20240626,Debit,ATM,371627.04,1244748.86,EMI,Completed,TXN0010031
10032,2264,1184,20230131,Credit,Net Banking,3670468.88,1659618.77,Shopping,Failed,TXN0010032
10033,2820,1588,20240222,Debit,Net Banking,320093.53,1717133.39,Shopping,Completed,TXN0010033
10034,2261,1182,20230916,Credit,ATM,557985.86,1003835.86,Vendor Pay,Reversed,TXN0010034
10035,2904,1649,20231214,Credit,Branch,2666949.64,102983.41,EMI,Completed,TXN0010035
10036,2796,1571,20241130,Debit,ATM,672.03,4925658.47,Salary,Completed,TXN0010036
10037,2553,1394,20230129,Credit,UPI,1148561.17,4296933.76,Utilities,Completed,TXN0010037
10038,2884,1636,20230706,Credit,Mobile,10148.1,3416222.24,Utilities,Completed,TXN0010038
10039,2819,1588,20240327,Credit,ATM,1039291.02,4071993.01,Dividend,Completed,TXN0010039
10040,2057,1040,20231116,Transfer,Branch,187545.93,902903.38,Maintenance,Completed,TXN0010040
10041,2145,1103,20230717,Credit,UPI,4607995.79,4689153.49,Insurance,Completed,TXN0010041
10042,2560,1399,20230430,Credit,Branch,34165.22,1829101.86,Cash,Reversed,TXN0010042
10043,2701,1503,20240218,Debit,Branch,459973.04,4605702.12,Travel,Completed,TXN0010043
10044,2939,1676,20240616,Debit,Mobile,91230.77,2815420.49,Medical,Completed,TXN0010044
10045,2565,1404,20231017,Debit,Net Banking,76470.5,1465502.81,Insurance,Completed,TXN0010045
10046,2621,1446,20230326,Credit,Net Banking,70072.88,2806703.71,EMI,Completed,TXN0010046
10047,2710,1510,20241201,Credit,UPI,83210.09,941206.43,Shopping,Completed,TXN0010047
10048,2839,1602,20241018,Debit,Branch,276460.22,236990.54,B2B Payment,Completed,TXN0010048
10049,2501,1361,20241201,Transfer,UPI,271512.53,892272.3,Vendor Pay,Completed,TXN0010049
10050,2063,1046,20230412,Credit,ATM,89289.43,3562340.48,Shopping,Completed,TXN0010050
10051,2707,1508,20240807,Credit,Branch,41712.26,1908062.15,Medical,Completed,TXN0010051
10052,2418,1298,20230904,Credit,Mobile,492512.94,4935440.39,Food,Completed,TXN0010052
10053,3180,1858,20230215,Debit,UPI,24994.23,3342995.5,Investment,Completed,TXN0010053
10054,3008,1728,20230729,Transfer,Mobile,2105096.7,52126.77,Food,Completed,TXN0010054
10055,2401,1285,20240514,Debit,Branch,1271747.34,1977946.9,Medical,Completed,TXN0010055
10056,2188,1132,20230314,Credit,Branch,16312.92,3956159.04,Shopping,Completed,TXN0010056
10057,2469,1336,20230920,Fee,Net Banking,28838.28,1432908.36,Food,Completed,TXN0010057
10058,2158,1112,20240209,Credit,ATM,1902907.7,2774195.18,Dividend,Completed,TXN0010058
10059,2738,1531,20240425,Credit,Branch,129749.64,4165640.57,Utilities,Completed,TXN0010059
10060,2984,1711,20230905,Debit,Mobile,230292.11,714650.78,EMI,Completed,TXN0010060
10061,2942,1679,20230804,Credit,Branch,2887126.62,4742998.49,Vendor Pay,Completed,TXN0010061
10062,2365,1257,20231225,Credit,Branch,813058.14,766334.49,B2B Payment,Completed,TXN0010062
10063,2329,1231,20241004,Debit,Net Banking,99353.86,2203211.94,Food,Completed,TXN0010063
10064,2756,1542,20240724,Debit,UPI,1930144.25,284508.92,Insurance,Completed,TXN0010064
10065,2738,1531,20240925,Credit,Mobile,197778.63,718288.9,Shopping,Completed,TXN0010065
10066,2011,1007,20230104,Credit,Net Banking,76985.2,599090.82,Cash,Completed,TXN0010066
10067,2053,1037,20230121,Credit,Net Banking,93752.49,3224305.98,B2B Payment,Completed,TXN0010067
10068,2556,1397,20230901,Credit,UPI,25379.21,4900675.39,Insurance,Completed,TXN0010068
10069,2228,1157,20240703,Transfer,ATM,14868.54,3185828.98,Utilities,Reversed,TXN0010069
10070,2558,1398,20230614,Debit,Branch,43457.79,1499988.45,Salary,Completed,TXN0010070
10071,3008,1728,20240216,Debit,Mobile,1119694.52,2029556.0,Investment,Completed,TXN0010071
10072,2650,1464,20240202,Credit,Mobile,32938.09,1995016.42,Medical,Completed,TXN0010072
10073,2359,1252,20241230,Debit,ATM,94826.5,3646804.69,Travel,Completed,TXN0010073
10074,2663,1475,20240119,Credit,ATM,39586.54,2351692.02,Maintenance,Completed,TXN0010074
10075,2432,1308,20230222,Debit,Mobile,55393.46,784440.01,Investment,Failed,TXN0010075
10076,2618,1443,20240329,Debit,ATM,205265.92,3335300.69,B2B Payment,Reversed,TXN0010076
10077,2965,1697,20241018,Debit,ATM,343832.35,1583136.96,Cash,Completed,TXN0010077
10078,2191,1134,20231120,Credit,UPI,53293.52,3140800.01,Salary,Completed,TXN0010078
10079,3105,1806,20230329,Debit,Branch,179124.14,450644.92,Vendor Pay,Completed,TXN0010079
10080,2224,1155,20231111,Credit,Mobile,62511.55,1578184.66,Food,Completed,TXN0010080
10081,2485,1347,20231024,Debit,UPI,96709.95,4402926.09,Utilities,Completed,TXN0010081
10082,2761,1546,20230612,Credit,Net Banking,70136.33,1406891.83,Food,Failed,TXN0010082
10083,2167,1117,20240331,Debit,Branch,314417.54,1905364.77,Investment,Completed,TXN0010083
10084,3080,1786,20240823,Credit,Mobile,4661616.69,2924871.13,Utilities,Completed,TXN0010084
10085,2031,1021,20241118,Credit,Mobile,1976239.83,4432567.04,Shopping,Completed,TXN0010085
10086,2890,1640,20241124,Debit,ATM,73266.47,4675209.37,Insurance,Completed,TXN0010086
10087,2905,1650,20231027,Credit,Branch,741688.11,4917871.01,Dividend,Completed,TXN0010087
10088,2842,1605,20230623,Debit,Mobile,112171.11,1401948.96,Maintenance,Failed,TXN0010088
10089,2036,1025,20231123,Transfer,Branch,65115.81,3502873.91,B2B Payment,Completed,TXN0010089
10090,2619,1444,20230211,Debit,Net Banking,66111.35,1665261.4,Salary,Completed,TXN0010090
10091,2890,1640,20240810,Debit,Net Banking,115828.35,2351134.73,Investment,Completed,TXN0010091
10092,2955,1689,20241214,Debit,Mobile,405510.09,4268279.68,Travel,Completed,TXN0010092
10093,3003,1725,20230516,Transfer,Mobile,285143.67,2444663.27,B2B Payment,Completed,TXN0010093
10094,2645,1461,20241113,Transfer,UPI,89634.0,116014.29,Utilities,Completed,TXN0010094
10095,2154,1110,20230318,Debit,Branch,93922.94,4007483.83,Travel,Completed,TXN0010095
10096,2109,1078,20230114,Credit,Mobile,87080.88,3087685.88,Utilities,Completed,TXN0010096
10097,3226,1893,20241008,Transfer,Branch,1244502.11,281775.91,Utilities,Completed,TXN0010097
10098,3052,1764,20230710,Debit,Branch,882.19,3958172.06,Cash,Completed,TXN0010098
10099,3016,1735,20240201,Debit,UPI,19667.54,4087937.09,Medical,Reversed,TXN0010099
10100,2859,1620,20240425,Debit,UPI,86568.32,307270.45,Utilities,Completed,TXN0010100
10101,2114,1082,20230722,Debit,UPI,57755.69,947538.6,Shopping,Completed,TXN0010101
10102,2109,1078,20230711,Credit,ATM,16661.15,3176849.33,EMI,Completed,TXN0010102
10103,2593,1423,20230812,Debit,Mobile,373012.71,2653223.67,Insurance,Failed,TXN0010103
10104,2970,1700,20231016,Credit,Branch,401935.91,2470121.32,Medical,Completed,TXN0010104
10105,3064,1774,20230323,Credit,Net Banking,1693.89,3721599.22,Shopping,Completed,TXN0010105
10106,3085,1790,20241215,Credit,Branch,57135.51,3636017.48,Vendor Pay,Completed,TXN0010106
10107,3048,1761,20240115,Credit,Net Banking,1636025.9,4995488.04,Cash,Completed,TXN0010107
10108,2252,1175,20241208,Debit,Net Banking,88057.48,1622514.51,Travel,Completed,TXN0010108
10109,2578,1413,20240420,Credit,ATM,3715510.06,1928435.27,Salary,Completed,TXN0010109
10110,3108,1808,20240126,Fee,ATM,40242.12,70736.87,Travel,Completed,TXN0010110
10111,2254,1177,20240830,Transfer,ATM,9937.2,1957066.93,Utilities,Completed,TXN0010111
10112,2292,1203,20240524,Debit,Mobile,1668067.42,4269219.48,B2B Payment,Completed,TXN0010112
10113,2696,1499,20240319,Debit,ATM,253924.23,3329280.22,Vendor Pay,Reversed,TXN0010113
10114,2096,1069,20241223,Credit,Mobile,14577.04,2594294.74,Dividend,Completed,TXN0010114
10115,2597,1427,20230114,Fee,ATM,182518.64,1553749.01,EMI,Completed,TXN0010115
10116,2177,1125,20240626,Debit,Mobile,80808.87,4320623.59,Vendor Pay,Completed,TXN0010116
10117,2675,1485,20230119,Debit,Net Banking,529914.21,4722939.17,Medical,Completed,TXN0010117
10118,3226,1893,20241011,Transfer,Net Banking,1584271.97,2775423.74,EMI,Completed,TXN0010118
10119,2991,1716,20230511,Fee,UPI,486145.13,1145404.58,EMI,Completed,TXN0010119
10120,3144,1833,20240515,Credit,Branch,661247.09,4403760.09,Investment,Completed,TXN0010120
10121,2889,1639,20230325,Credit,Net Banking,3052738.91,4454661.95,Medical,Completed,TXN0010121
10122,2645,1461,20230717,Credit,Mobile,71334.81,1819548.5,Travel,Completed,TXN0010122
10123,2360,1253,20241010,Debit,Mobile,82571.26,2413283.05,Utilities,Completed,TXN0010123
10124,2459,1328,20231118,Credit,UPI,20405.8,4053832.23,Cash,Failed,TXN0010124
10125,2850,1612,20231030,Credit,ATM,1070829.27,2521142.11,Cash,Completed,TXN0010125
10126,2606,1434,20231102,Debit,ATM,29962.29,145077.35,Insurance,Completed,TXN0010126
10127,2113,1081,20240421,Credit,ATM,234408.85,1910715.26,Utilities,Completed,TXN0010127
10128,3069,1777,20230421,Transfer,Net Banking,588101.43,3531777.36,Dividend,Completed,TXN0010128
10129,2837,1601,20231127,Fee,Branch,152225.79,1633363.65,Dividend,Completed,TXN0010129
10130,2452,1323,20240717,Debit,Net Banking,64809.67,1978292.95,Vendor Pay,Completed,TXN0010130
10131,3071,1779,20241021,Debit,UPI,3806807.74,197867.99,Maintenance,Completed,TXN0010131
10132,3016,1735,20240523,Debit,Branch,14421.19,512163.83,Utilities,Failed,TXN0010132
10133,2344,1241,20240104,Fee,Mobile,8575.29,1718521.92,Shopping,Completed,TXN0010133
10134,2780,1559,20240621,Debit,Net Banking,69611.37,2740939.5,Shopping,Completed,TXN0010134
10135,2643,1460,20230429,Credit,Mobile,23125.92,283514.38,Insurance,Completed,TXN0010135
10136,2074,1054,20240505,Debit,ATM,75973.51,4749880.14,Food,Completed,TXN0010136
10137,2459,1328,20240201,Credit,Net Banking,2415.95,3827917.84,Dividend,Completed,TXN0010137
10138,3013,1732,20240717,Debit,ATM,1199853.89,1044974.21,EMI,Completed,TXN0010138
10139,2498,1358,20240818,Transfer,UPI,89908.61,821731.72,Cash,Completed,TXN0010139
10140,2012,1008,20230930,Credit,UPI,39147.77,4174276.89,Travel,Completed,TXN0010140
10141,2479,1343,20231201,Transfer,Net Banking,12357.18,1427623.27,Salary,Completed,TXN0010141
10142,2931,1668,20230729,Debit,Branch,805531.53,534541.39,Food,Completed,TXN0010142
10143,3070,1778,20241207,Credit,UPI,412572.94,1805330.67,Salary,Completed,TXN0010143
10144,2336,1236,20230811,Credit,Mobile,1729.85,4148106.38,Food,Completed,TXN0010144
10145,2712,1512,20231202,Credit,Net Banking,1223535.31,827121.19,Dividend,Completed,TXN0010145
10146,2850,1612,20241114,Transfer,ATM,201464.54,537200.69,Salary,Completed,TXN0010146
10147,2882,1635,20230112,Transfer,Branch,30692.93,1907723.16,EMI,Reversed,TXN0010147
10148,2139,1100,20240112,Debit,ATM,97108.55,3709490.58,Vendor Pay,Completed,TXN0010148
10149,2598,1428,20231101,Credit,Branch,30553.99,1314365.55,Travel,Failed,TXN0010149
10150,2176,1124,20240502,Debit,Branch,521866.83,1174779.31,Food,Failed,TXN0010150
10151,2986,1712,20231004,Debit,UPI,48232.64,3657438.68,Utilities,Completed,TXN0010151
10152,2571,1408,20230131,Debit,Net Banking,83129.9,2062708.84,Salary,Completed,TXN0010152
10153,2063,1046,20231015,Credit,Net Banking,20668.51,1337154.91,Insurance,Completed,TXN0010153
10154,3225,1893,20230829,Credit,Branch,1991883.04,221571.4,EMI,Completed,TXN0010154
10155,2621,1446,20230826,Credit,Branch,157528.21,442991.58,Vendor Pay,Completed,TXN0010155
10156,2674,1484,20240118,Credit,Mobile,368575.33,2704294.31,Vendor Pay,Completed,TXN0010156
10157,2495,1356,20230628,Credit,Mobile,47014.68,1737838.16,B2B Payment,Completed,TXN0010157
10158,2955,1689,20241122,Credit,Mobile,481465.48,433141.35,B2B Payment,Failed,TXN0010158
10159,2476,1341,20241022,Credit,UPI,86249.1,822216.48,Salary,Completed,TXN0010159
10160,3208,1881,20240905,Debit,ATM,4270379.5,2868889.26,Food,Completed,TXN0010160
10161,3159,1845,20230325,Credit,Branch,99055.14,2720439.69,Maintenance,Completed,TXN0010161
10162,2008,1005,20240717,Credit,ATM,74101.27,3420369.44,Travel,Completed,TXN0010162
10163,2171,1120,20240118,Credit,Net Banking,1070086.0,4096985.14,Cash,Completed,TXN0010163
10164,3057,1768,20241205,Credit,Branch,1206492.6,3219867.44,Utilities,Completed,TXN0010164
10165,3062,1772,20230101,Transfer,UPI,1609873.65,2476519.37,Shopping,Completed,TXN0010165
10166,2440,1314,20240220,Debit,ATM,54425.7,483839.54,Food,Completed,TXN0010166
10167,2025,1017,20231030,Debit,ATM,82851.83,3402727.1,Shopping,Completed,TXN0010167
10168,2174,1122,20240102,Credit,Branch,69932.94,1501777.17,Investment,Completed,TXN0010168
10169,2438,1312,20240926,Credit,Net Banking,63704.35,2967087.6,Insurance,Completed,TXN0010169
10170,2049,1033,20231124,Debit,Mobile,356303.12,4306013.19,Investment,Completed,TXN0010170
10171,3084,1789,20240308,Credit,UPI,1767239.71,4745662.43,Insurance,Completed,TXN0010171
10172,2041,1028,20230209,Fee,Branch,47749.74,2719131.03,Shopping,Completed,TXN0010172
10173,3169,1851,20240410,Debit,Mobile,520688.35,4920017.23,Salary,Completed,TXN0010173
10174,2789,1566,20230810,Credit,Branch,70073.2,642792.39,Food,Completed,TXN0010174
10175,2043,1029,20230312,Credit,Net Banking,27836.74,2825684.73,Travel,Failed,TXN0010175
10176,2933,1670,20230917,Credit,UPI,49364.35,4511406.46,B2B Payment,Completed,TXN0010176
10177,2058,1041,20240907,Debit,Branch,68837.33,4842855.28,Shopping,Completed,TXN0010177
10178,2694,1498,20230106,Debit,ATM,1556302.2,220329.5,Utilities,Completed,TXN0010178
10179,3217,1887,20230823,Credit,Branch,10603.0,696887.33,Medical,Reversed,TXN0010179
10180,2859,1620,20240324,Credit,Net Banking,2543.49,2626350.93,Medical,Completed,TXN0010180
10181,2777,1557,20240304,Credit,Mobile,43910.97,3510536.76,Shopping,Completed,TXN0010181
10182,2381,1270,20240501,Debit,ATM,455175.8,4377789.36,Shopping,Completed,TXN0010182
10183,2122,1089,20241111,Debit,UPI,37645.03,1315770.41,Shopping,Reversed,TXN0010183
10184,2936,1673,20240819,Debit,UPI,4455.7,1013033.89,B2B Payment,Completed,TXN0010184
10185,2994,1719,20230112,Debit,UPI,78914.67,564650.16,Insurance,Completed,TXN0010185
10186,2758,1544,20231107,Transfer,ATM,32293.16,1219137.06,Dividend,Completed,TXN0010186
10187,2276,1194,20240504,Credit,Branch,17655.59,2765609.69,Insurance,Completed,TXN0010187
10188,3132,1824,20230530,Credit,UPI,812472.82,3802829.59,Dividend,Completed,TXN0010188
10189,2104,1075,20230910,Credit,Net Banking,423090.05,1809250.85,Cash,Completed,TXN0010189
10190,2584,1417,20240318,Debit,Mobile,78172.88,139298.52,Insurance,Completed,TXN0010190
10191,2537,1383,20240405,Credit,ATM,379332.08,637504.43,EMI,Failed,TXN0010191
10192,2726,1522,20241023,Transfer,ATM,24513.39,2606771.19,Dividend,Completed,TXN0010192
10193,2619,1444,20240303,Debit,Branch,70595.2,3885463.03,Travel,Completed,TXN0010193
10194,2530,1379,20240207,Debit,Mobile,30697.94,2676919.48,Vendor Pay,Failed,TXN0010194
10195,3201,1876,20240607,Credit,UPI,353719.79,4617346.54,EMI,Completed,TXN0010195
10196,3104,1805,20240425,Debit,Net Banking,97535.05,2664162.83,EMI,Completed,TXN0010196
10197,2366,1258,20231005,Transfer,UPI,51595.03,1565945.11,Vendor Pay,Failed,TXN0010197
10198,2808,1580,20231223,Fee,ATM,82660.65,2588841.14,Investment,Completed,TXN0010198
10199,2851,1613,20241116,Credit,UPI,447464.19,697249.09,Travel,Completed,TXN0010199
10200,2278,1195,20241230,Credit,Mobile,448705.75,2313989.47,Maintenance,Completed,TXN0010200
10201,3026,1742,20241015,Debit,UPI,79099.53,4152115.93,Utilities,Failed,TXN0010201
10202,3139,1830,20240119,Debit,Net Banking,364179.9,4662487.09,Dividend,Completed,TXN0010202
10203,2217,1150,20240912,Debit,Branch,96668.11,4065759.53,Investment,Completed,TXN0010203
10204,2276,1194,20240521,Credit,UPI,58566.57,1386181.23,EMI,Completed,TXN0010204
10205,2386,1273,20240313,Credit,Net Banking,59729.54,2382364.41,Investment,Completed,TXN0010205
10206,2207,1144,20230506,Debit,Branch,301069.62,352329.62,Shopping,Completed,TXN0010206
10207,2388,1275,20230409,Transfer,Net Banking,20886.83,4456666.38,EMI,Completed,TXN0010207
10208,2164,1115,20241001,Credit,Mobile,888115.15,1153211.17,EMI,Completed,TXN0010208
10209,3060,1770,20240719,Debit,ATM,345820.65,2768997.53,Vendor Pay,Completed,TXN0010209
10210,2253,1176,20230728,Credit,Branch,95470.1,456797.58,Medical,Completed,TXN0010210
10211,2390,1277,20230508,Debit,Net Banking,126067.27,2298073.56,Utilities,Failed,TXN0010211
10212,2323,1226,20230420,Debit,Mobile,43801.73,4304615.36,Food,Completed,TXN0010212
10213,2314,1219,20230413,Credit,Net Banking,71386.29,2213195.25,Medical,Failed,TXN0010213
10214,3195,1872,20230124,Credit,Mobile,118461.81,3366882.5,Investment,Completed,TXN0010214
10215,2747,1537,20231126,Debit,UPI,1250493.78,4191256.55,EMI,Completed,TXN0010215
10216,2212,1148,20240907,Credit,Net Banking,378344.22,2020627.55,Cash,Completed,TXN0010216
10217,2582,1415,20230912,Credit,ATM,38254.68,4388775.1,Salary,Completed,TXN0010217
10218,2804,1577,20241022,Credit,Net Banking,3594041.38,110374.67,EMI,Completed,TXN0010218
10219,2548,1391,20240517,Debit,Net Banking,456410.26,448215.06,B2B Payment,Completed,TXN0010219
10220,2389,1276,20230924,Credit,ATM,22304.11,2927887.42,Maintenance,Completed,TXN0010220
10221,3139,1830,20230207,Fee,Mobile,43029.69,1143672.34,Medical,Failed,TXN0010221
10222,2131,1095,20230914,Debit,Mobile,45583.53,1466470.9,Food,Completed,TXN0010222
10223,3223,1892,20230823,Debit,ATM,2650489.05,1159846.36,Shopping,Completed,TXN0010223
10224,2817,1587,20231023,Credit,Net Banking,4485117.82,1181989.87,Travel,Reversed,TXN0010224
10225,2857,1618,20230310,Credit,Mobile,81820.33,894474.25,Shopping,Completed,TXN0010225
10226,2791,1567,20230703,Debit,ATM,24941.83,44723.72,Food,Completed,TXN0010226
10227,2392,1279,20240527,Credit,Branch,39683.66,835839.31,Dividend,Completed,TXN0010227
10228,2194,1136,20240915,Credit,UPI,78424.17,2312563.67,Dividend,Completed,TXN0010228
10229,2160,1113,20230615,Credit,Branch,7173.87,1887748.06,Salary,Completed,TXN0010229
10230,2756,1542,20241124,Credit,UPI,1105864.46,2020088.41,Maintenance,Completed,TXN0010230
10231,2925,1663,20240912,Credit,Net Banking,75287.31,2617828.61,Investment,Completed,TXN0010231
10232,3206,1879,20230510,Credit,ATM,7805.0,4973578.24,Food,Completed,TXN0010232
10233,2858,1619,20240127,Debit,Mobile,2875.65,2436620.74,Travel,Completed,TXN0010233
10234,2621,1446,20240405,Transfer,ATM,331554.23,1510558.72,Cash,Completed,TXN0010234
10235,2332,1233,20230916,Credit,Net Banking,362187.33,1858464.04,Cash,Completed,TXN0010235
10236,2596,1426,20230909,Transfer,Branch,626065.27,266543.59,Dividend,Failed,TXN0010236
10237,2933,1670,20230321,Credit,Mobile,82198.87,2758482.02,Salary,Failed,TXN0010237
